table,column,value
products,product_id,1
products,product_id,2
products,product_id,3
products,product_id,4
products,product_id,5
products,product_id,6
products,product_id,7
products,product_id,8
products,product_id,9
products,product_id,10
products,product_id,11
products,product_id,12
products,product_id,13
products,product_id,14
products,product_id,15
products,product_type_code,Hardware
products,product_type_code,Clothes
products,product_name,mouse
products,product_name,red topping
products,product_name,speaker
products,product_name,yellow topping
products,product_name,keyboard
products,product_name,black topping
products,product_name,blue jeans
products,product_name,drive
products,product_name,mic
products,product_name,red jeans
products,product_name,blue topping
products,product_name,black jeans
products,product_name,yellow jeans
products,product_name,monitor
products,product_price,803.74
products,product_price,612.46
products,product_price,939.57
products,product_price,971.44
products,product_price,813.76
products,product_price,687.23
products,product_price,944.96
products,product_price,916.53
products,product_price,629.89
products,product_price,534.52
products,product_price,695.16
products,product_price,408.82
products,product_price,918.41
products,product_price,604.86
products,product_price,734.73
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,supplier_id,1
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,supplier_id,2
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,supplier_id,3
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,supplier_id,4
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-07-02 00:35:12
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-07-13 15:02:24
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-07-28 19:23:39
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-08-09 21:26:38
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-10-14 19:15:37
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-06-19 00:49:05
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-08-22 00:58:42
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-09-19 02:14:02
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-12-20 07:07:31
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-11-17 08:23:16
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-12-08 09:14:05
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-06-09 01:30:40
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-12-01 19:46:53
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-06-25 14:59:40
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_from,2017-08-07 12:08:00
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 12:35:08
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 12:27:13
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 19:29:18
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 09:17:15
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-25 09:15:30
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 23:25:58
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-25 07:30:49
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 23:03:30
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-25 12:03:33
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 05:22:36
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-23 19:21:12
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 02:38:31
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 02:29:44
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 23:01:03
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,date_supplied_to,2018-03-24 18:16:47
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,20447.99
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,35149.74
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,31862.59
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,32881.38
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,64444.18
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,20689.78
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,89366.05
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,83873.58
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,79316.31
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,13712.91
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,25318.21
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,25085.57
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,85922.86
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,15752.45
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_amount_purchased,22332.08
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,76992.42
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,29987.71
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,48100.23
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,98086.8
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,61800.95
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,7273.74
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,8042.78
product_suppliers as t1 join products as t2 on t1.product_id = t2.product_id,total_value_purchased,99049.01
