tvBench_id,db_id,chart,hardness,query,question,vega_zero
1419@x_name@ASC,flight_4,Bar,Extra Hard,"Visualize BAR SELECT country , COUNT(country) FROM airlines WHERE name LIKE 'Orbit%' GROUP BY country ORDER BY country ASC","Bar chart showing the number of countries of airlines whose name starts with ""orbit"" in ascending order of country.",mark bar data airlines encoding x country y aggregate count country transform filter name like 'orbit%' group x sort x asc
1782,hr_1,Scatter,Easy,"Visualize SCATTER SELECT SALARY , DEPARTMENT_ID FROM employees WHERE hire_date < '2002-06-21'",Scatter chart showing the relationship between salary and department id for employees hired before 2002-06-21.,mark point data employees encoding x salary y aggregate none department_id transform filter hire_date < '2002-06-21'
443,cinema,Bar,Easy,"Visualize BAR SELECT Directed_by , COUNT(Directed_by) FROM film GROUP BY Directed_by",Bar chart showing the number of films for each director.,mark bar data film encoding x directed_by y aggregate count directed_by transform group x
1781@x_name@DESC,hr_1,Bar,Hard,"Visualize BAR SELECT JOB_ID , AVG(DEPARTMENT_ID) FROM employees WHERE hire_date < '2002-06-21' GROUP BY JOB_ID ORDER BY JOB_ID DESC",Bar chart showing the comparison of average department id for employees hired before 2002-06-21 grouped by job id in descending order of job id.,mark bar data employees encoding x job_id y aggregate mean department_id transform filter hire_date < '2002-06-21' group x sort x desc
474@y_name@ASC,cinema,Bar,Easy,"Visualize BAR SELECT Name , Capacity FROM cinema ORDER BY Capacity ASC",Bar chart showing capacity across name in ascending order of capacity.,mark bar data cinema encoding x name y aggregate none capacity transform sort y asc
2625@y_name@DESC,program_share,Bar,Medium,"Visualize BAR SELECT Owner , sum(Rating_in_percent) FROM channel GROUP BY OWNER ORDER BY sum(Rating_in_percent) DESC",Bar chart showing owners versus total number of ratings in percent in descending order of the y-axis.,mark bar data channel encoding x owner y aggregate sum rating_in_percent transform group x sort y desc
59@x_name@DESC,allergy_1,Bar,Medium,"Visualize BAR SELECT city_code , count(*) FROM Student GROUP BY city_code ORDER BY city_code DESC",Bar chart showing the number of students living in each city in descending order of city code.,mark bar data student encoding x city_code y aggregate count city_code transform group x sort x desc
1414@x_name@ASC,flight_1,Bar,Easy,"Visualize BAR SELECT name , distance FROM Aircraft ORDER BY name ASC",Bar chart showing distances by name in ascending order of name.,mark bar data aircraft encoding x name y aggregate none distance transform sort x asc
74,apartment_rentals,Bar,Easy,"Visualize BAR SELECT booking_status_code , COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code",Bar chart showing the booking status code and the corresponding number of bookings.,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x
172@y_name@ASC,battle_death,Bar,Medium,"Visualize BAR SELECT date , COUNT(date) FROM battle GROUP BY date ORDER BY COUNT(date) ASC",Bar chart showing the number of battle dates in ascending order of the y-axis.,mark bar data battle encoding x date y aggregate count date transform group x sort y asc
1542@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , SUM(SALARY) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%'  ORDER BY SUM(SALARY) DESC BIN HIRE_DATE BY MONTH","Bar chart showing distribution of hire date and sum of salary for all employees with ""d"" or ""s"" in their first name in descending order of the y-axis and binning by month.",mark bar data employees encoding x hire_date y aggregate sum salary transform filter first_name like '%d%' or first_name like '%s%' sort y desc bin x by month
709@x_name@ASC,county_public_safety,Bar,Medium,"Visualize BAR SELECT Police_force , COUNT(*) FROM county_public_safety GROUP BY Police_force ORDER BY Police_force ASC",Bar chart showing how many counties correspond to each police force in ascending order of police force.,mark bar data county_public_safety encoding x police_force y aggregate count police_force transform group x sort x asc
165,baseball_1,Bar,Easy,"Visualize BAR SELECT year , COUNT(year) FROM home_game BIN year BY WEEKDAY",Bar chart showing the number of year and binning by weekday on the x-axis and the y-axis.,mark bar data home_game encoding x year y aggregate count year transform bin x by weekday
435,chinook_1,Bar,Easy,"Visualize BAR SELECT Phone , COUNT(Phone) FROM EMPLOYEE GROUP BY Phone",Bar chart showing the number of phone numbers of all employees.,mark bar data employee encoding x phone y aggregate count phone transform group x
2916,swimming,Bar,Easy,"Visualize BAR SELECT meter_300 , ID FROM swimmer",Bar chart showing ids from each meter 300.,mark bar data swimmer encoding x meter_300 y aggregate none id
779,cre_Doc_Tracking_DB,Grouping Line,Hard,"Visualize LINE SELECT Date_in_Locaton_To , COUNT(Date_in_Locaton_To) FROM Document_locations GROUP BY Location_Code BIN Date_in_Locaton_To BY YEAR","Line chart showing worldwide gross, binned by year, grouped by major genres and location code.",mark line data document_locations encoding x date_in_locaton_to y aggregate count date_in_locaton_to color location_code transform bin x by year
2857,store_1,Bar,Hard,"Visualize BAR SELECT billing_country , SUM(total) FROM invoices GROUP BY billing_country ORDER BY SUM(total) DESC LIMIT 8",Bar chart showing the top 8 countries by total invoice size and their sizes.,mark bar data invoices encoding x billing_country y aggregate sum total transform group x sort y desc topk 8
1408@y_name@DESC,flight_1,Bar,Medium,"Visualize BAR SELECT destination , count(*) FROM Flight GROUP BY destination ORDER BY count(*) DESC",Bar chart showing total number of destinations in descending order of the y-axis.,mark bar data flight encoding x destination y aggregate count destination transform group x sort y desc
1954@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , COUNT(HIRE_DATE) FROM employees WHERE first_name NOT LIKE '%M%'  ORDER BY COUNT(HIRE_DATE) DESC BIN HIRE_DATE BY WEEKDAY","Bar chart showing the total number of employees without the letter ""m"" in their first names hired by day of the week in descending order of the y-axis and binning by weekday.",mark bar data employees encoding x hire_date y aggregate count hire_date transform filter first_name not like '%m%' sort y desc bin x by weekday
2841,station_weather,Bar,Easy,"Visualize BAR SELECT day_of_week , avg(high_temperature) FROM weekly_weather GROUP BY day_of_week",Bar chart showing the average high temperature for each day of the week.,mark bar data weekly_weather encoding x day_of_week y aggregate mean high_temperature transform group x
1032@x_name@ASC,customers_card_transactions,Bar,Medium,"Visualize BAR SELECT transaction_type , count(*) FROM Financial_transactions GROUP BY transaction_type ORDER BY transaction_type ASC",Bar chart showing the total number of transactions by type in ascending order of transaction type.,mark bar data financial_transactions encoding x transaction_type y aggregate count transaction_type transform group x sort x asc
1612,hr_1,Scatter,Medium,"Visualize SCATTER SELECT COMMISSION_PCT , DEPARTMENT_ID FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40",Scatter chart showing the relationship between commission pct and department id for employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40.,"mark point data employees encoding x commission_pct y aggregate none department_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40"
787,cre_Doc_Tracking_DB,Line,Easy,"Visualize LINE SELECT Calendar_Date , COUNT(Calendar_Date) FROM Ref_calendar BIN Calendar_Date BY YEAR",Line chart showing all calendar dates and binning by year.,mark line data ref_calendar encoding x calendar_date y aggregate count calendar_date transform bin x by year
3102@x_name@DESC,university_basketball,Bar,Medium,"Visualize BAR SELECT All_Home , SUM(Team_ID) FROM basketball_match GROUP BY All_Home ORDER BY All_Home DESC",Bar chart showing the sum of team ids from each all home in descending order of all home.,mark bar data basketball_match encoding x all_home y aggregate sum team_id transform group x sort x desc
3251@y_name@ASC,wine_1,Bar,Medium,"Visualize BAR SELECT Year , AVG(max(Score)) FROM WINE  ORDER BY AVG(max(Score)) ASC BIN Year BY WEEKDAY",Bar chart showing the mean maximum scores of each year in ascending order of score and binning by year.,mark bar data wine encoding x year y aggregate mean max(score transform sort y asc bin x by weekday
1822,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , SALARY FROM employees WHERE first_name NOT LIKE '%M%'","Line chart showing salaries for employees whose first name does not contain ""m"" by hire date.",mark line data employees encoding x hire_date y aggregate none salary transform filter first_name not like '%m%'
2799,soccer_2,Pie,Easy,"Visualize PIE SELECT state , min(enr) FROM college GROUP BY state",Pie chart showing the proportion of the smallest enrollment in each state.,mark arc data college encoding x state y aggregate min enr transform group x
1174@y_name@DESC,dog_kennels,Bar,Easy,"Visualize BAR SELECT charge_type , charge_amount FROM Charges ORDER BY charge_amount DESC",Bar chart showing each charge type and its amount in descending order of charge amount.,mark bar data charges encoding x charge_type y aggregate none charge_amount transform sort y desc
2657@x_name@ASC,railway,Bar,Extra Hard,"Visualize BAR SELECT Country , COUNT(Country) FROM manager WHERE Age > 50 OR Age < 46 GROUP BY Country ORDER BY Country ASC",Bar chart showing the number of countries with managers of age above 50 or below 46 in ascending order of country.,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x sort x asc
1349@x_name@DESC,employee_hire_evaluation,Grouping Line,Extra Hard,"Visualize LINE SELECT Start_from , COUNT(Start_from) FROM hiring GROUP BY Is_full_time ORDER BY Start_from DESC BIN Start_from BY YEAR","Line chart showing the trend of start from in descending order of start from and binning by year, grouped by is full time.",mark line data hiring encoding x start_from y aggregate count start_from color is_full_time transform sort x desc bin x by year
858,cre_Drama_Workshop_Groups,Pie,Easy,"Visualize PIE SELECT Product_Name , avg(Product_Price) FROM PRODUCTS GROUP BY Product_Name",Pie chart showing the average product price for each distinct product name.,mark arc data products encoding x product_name y aggregate mean product_price transform group x
2024@y_name@DESC,insurance_policies,Bar,Hard,"Visualize BAR SELECT Date_Payment_Made , COUNT(Date_Payment_Made) FROM Payments WHERE Payment_Method_Code = 'Visa'  ORDER BY COUNT(Date_Payment_Made) DESC BIN Date_Payment_Made BY YEAR",Bar chart showing the count of payments processed with visa by day in descending order of the y-axis and binning by year.,mark bar data payments encoding x date_payment_made y aggregate count date_payment_made transform filter payment_method_code = 'visa' sort y desc bin x by year
3091@y_name@DESC,university_basketball,Stacked Bar,Medium,"Visualize BAR SELECT ACC_Road , School_ID FROM basketball_match GROUP BY ACC_Home ,  ACC_Road ORDER BY School_ID DESC","Bar chart showing school id, grouped by acc home, in descending order of school id.",mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc
711@y_name@ASC,course_teach,Bar,Easy,"Visualize BAR SELECT Hometown , Age FROM teacher ORDER BY Age ASC",Bar chart showing age across hometown in ascending order of age.,mark bar data teacher encoding x hometown y aggregate none age transform sort y asc
